trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.2, 'e': 0.6549999999999997}",20,8,-50.77294084010614,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
70,False,"{'a': 0.2, 'e': 0.6499999999999997}",20,11,14.7774200977741,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.6449999999999997}",20,0,-55.0534365904391,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
72,False,"{'a': 0.2, 'e': 0.6399999999999997}",20,0,7.6511730300477065,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.6349999999999997}",25,0,-140.911258689149,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
74,False,"{'a': 0.2, 'e': 0.6299999999999997}",30,4,-153.66388142499042,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 3}",1
75,False,"{'a': 0.2, 'e': 0.6249999999999997}",20,0,-49.80139056017653,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
76,False,"{'a': 0.2, 'e': 0.6199999999999997}",25,0,-63.44992238850541,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.2, 'e': 0.6149999999999997}",20,0,-68.9058942811475,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.6099999999999997}",20,8,2.066231026730983,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.6049999999999996}",20,10,-91.18709528806863,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
80,False,"{'a': 0.2, 'e': 0.5999999999999996}",20,0,-20.7418385264779,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
81,False,"{'a': 0.2, 'e': 0.5949999999999996}",25,13,-137.4468420616012,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 3}",1
82,False,"{'a': 0.2, 'e': 0.5899999999999996}",20,0,-117.03451896616245,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
83,False,"{'a': 0.2, 'e': 0.5849999999999996}",20,8,-21.57794913444023,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.5799999999999996}",20,0,-84.61077517417633,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.2, 'e': 0.5749999999999996}",20,11,17.00694439178095,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.5699999999999996}",25,11,-24.290103326482807,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.5649999999999996}",20,5,-14.394560663520531,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.5599999999999996}",20,0,-28.51525393774043,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
89,False,"{'a': 0.2, 'e': 0.5549999999999996}",20,0,21.515471938618624,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.2, 'e': 0.5499999999999996}",25,12,0.5230527684742667,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.2, 'e': 0.5449999999999996}",25,15,4.024660623399484,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.5399999999999996}",30,0,-120.16017220547192,"{0: 22, 1: 4, 2: 1, 3: 0, 4: 3}",0
93,False,"{'a': 0.2, 'e': 0.5349999999999996}",20,12,-49.06452228219772,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
94,False,"{'a': 0.2, 'e': 0.5299999999999996}",20,7,-128.6592802253482,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 3}",1
95,False,"{'a': 0.2, 'e': 0.5249999999999996}",20,11,18.397299923627127,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.5199999999999996}",25,4,-18.570636306639614,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 0}",1
97,False,"{'a': 0.2, 'e': 0.5149999999999996}",25,0,-25.865409301496353,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.2, 'e': 0.5099999999999996}",30,0,2.2494518943424606,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
99,False,"{'a': 0.2, 'e': 0.5049999999999996}",25,7,5.258235381803416,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.2, 'e': 0.49999999999999956}",20,9,4.697795644776383,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.2, 'e': 0.49499999999999955}",20,0,-113.49776853670814,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
102,False,"{'a': 0.2, 'e': 0.48999999999999955}",25,0,-64.15495907720052,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
103,False,"{'a': 0.2, 'e': 0.48499999999999954}",20,12,1.4548277050793543,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.2, 'e': 0.47999999999999954}",25,0,-16.797415671772782,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.2, 'e': 0.47499999999999953}",20,0,-26.750057826405385,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
106,False,"{'a': 0.2, 'e': 0.46999999999999953}",20,0,-38.364962695810505,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
107,False,"{'a': 0.2, 'e': 0.4649999999999995}",30,6,-40.71460627033539,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.4599999999999995}",20,0,-76.85988001981572,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
